,SiteName,app,date,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
788,74DA38F20FC8,AirBox,2018-12-07,74DA38F20FC8,1,2.0,1.0,22.656,120.321,9.0,583.0,100.0,1.0,0.0,12.0,13.0,8.0,57.0,30.12,1544209682.0,19:08:02,2018-12-07T19:08:02Z,1.0.7,3
789,74DA38F20FC4,AirBox,2018-12-07,74DA38F20FC4,1,2.0,1.0,23.022,120.561,9.0,84.0,100.0,1.0,0.0,44.0,54.0,27.0,82.0,23.62,1544211597.0,19:39:57,2018-12-07T19:39:57Z,1.0.7,3
790,74DA38F2126E,AirBox,2018-12-07,74DA38F2126E,1,2.0,1.0,-6.167,106.79,9.0,109.0,100.0,1.0,0.0,96.0,100.0,66.0,67.0,31.62,1544211034.0,19:30:34,2018-12-07T19:30:34Z,1.0.7,3
791,74DA38E2B5E4,AirBox,2018-12-07,74DA38E2B5E4,1,2.0,1.0,22.63,120.311,9.0,63.0,100.0,1.0,0.0,15.0,16.0,11.0,52.0,30.25,1544212107.0,19:48:27,2018-12-07T19:48:27Z,0.35.2,3
792,苗栗縣育英國小龍騰分校,AirBox,2018-12-07,74DA38F20DA6,1,2.0,1.0,24.357,120.776,9.0,173.0,100.0,1.0,0.0,4.0,4.0,3.0,81.0,19.75,1544212513.0,19:55:13,2018-12-07T19:55:13Z,1.0.7,3
793,嘉義縣立梅圳國小,AirBox,2018-12-07,74DA38E2B69A,1,2.0,1.0,23.577,120.59,9.0,3886.0,100.0,1.0,0.0,16.0,16.0,12.0,73.0,24.62,1544210443.0,19:20:43,2018-12-07T19:20:43Z,0.35.2,3
794,苗栗縣縣立照南國中,AirBox,2018-12-07,74DA38F20C5A,1,2.0,1.0,24.694,120.875,9.0,604.0,100.0,1.0,0.0,2.0,2.0,1.0,76.0,21.75,1544211016.0,19:30:16,2018-12-07T19:30:16Z,1.0.7,3
795,嘉義縣立柳溝國小,AirBox,2018-12-07,74DA38E2B762,1,2.0,1.0,23.576,120.413,9.0,3916.0,100.0,1.0,0.0,5.0,6.0,4.0,92.0,24.0,1544211381.0,19:36:21,2018-12-07T19:36:21Z,0.35.2,3
796,苗栗縣縣立苑裡高中附設國中,AirBox,2018-12-07,74DA38F20DA0,1,2.0,1.0,24.438,120.655,9.0,60.0,100.0,1.0,0.0,15.0,16.0,9.0,68.0,23.62,1544209642.0,19:07:22,2018-12-07T19:07:22Z,1.0.7,3
797,苗栗縣縣立成功國小,AirBox,2018-12-07,74DA38F20A9E,1,2.0,1.0,24.632,120.761,9.0,607.0,100.0,1.0,0.0,3.0,4.0,1.0,85.0,21.0,1544212565.0,19:56:05,2018-12-07T19:56:05Z,1.0.7,3
798,74DA38E2B50E,AirBox,2018-12-07,74DA38E2B50E,1,2.0,1.0,25.085,121.597,9.0,374.0,100.0,1.0,0.0,0.0,0.0,0.0,85.0,21.75,1544212773.0,19:59:33,2018-12-07T19:59:33Z,0.35.2,3
799,74DA38AF480E,AirBox,2018-12-07,74DA38AF480E,1,2.0,1.0,24.196,120.717,9.0,905.0,100.0,1.0,0.0,6.0,6.0,5.0,100.0,20.75,1544212688.0,19:58:08,2018-12-07T19:58:08Z,0.35.2,3
800,新竹縣縣立東興國中,AirBox,2018-12-07,74DA38F21020,1,2.0,1.0,24.81,121.029,9.0,832.0,100.0,1.0,0.0,2.0,2.0,1.0,81.0,19.87,1544212697.0,19:58:17,2018-12-07T19:58:17Z,1.0.7,3
801,74DA38E2B520,AirBox,2018-12-07,74DA38E2B520,1,2.0,1.0,25.077,121.627,9.0,6640.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,20.25,1544212167.0,19:49:27,2018-12-07T19:49:27Z,0.35.2,3
802,新竹縣縣立尖石國中,AirBox,2018-12-07,74DA38F21028,1,2.0,1.0,24.707,121.202,9.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,72.0,22.62,1544211307.0,19:35:07,2018-12-07T19:35:07Z,1.0.7,3
803,台北市私立再興小學,AirBox,2018-12-07,28C2DDDD47A4,1,2.0,1.0,24.989,121.558,9.0,129.0,100.0,1.0,0.0,2.0,0.0,0.0,100.0,21.5,1544212285.0,19:51:25,2018-12-07T19:51:25Z,1.0,3
804,74DA38AF4804,AirBox,2018-12-07,74DA38AF4804,1,2.0,1.0,24.158,120.669,9.0,4474.0,100.0,1.0,0.0,2.0,2.0,2.0,50.0,32.62,1544212602.0,19:56:42,2018-12-07T19:56:42Z,0.35.2,3
805,新竹縣縣立自強國中,AirBox,2018-12-07,74DA38F2102E,1,2.0,1.0,24.745,121.084,9.0,1524.0,100.0,1.0,0.0,0.0,0.0,0.0,83.0,20.75,1544209730.0,19:08:50,2018-12-07T19:08:50Z,1.0.7,3
806,74DA38AF4806,AirBox,2018-12-07,74DA38AF4806,1,2.0,1.0,22.633,120.315,9.0,70.0,100.0,1.0,0.0,22.0,24.0,16.0,100.0,26.5,1544212110.0,19:48:30,2018-12-07T19:48:30Z,0.35.2,3
807,74DA38AF4800,AirBox,2018-12-07,74DA38AF4800,1,2.0,1.0,23.847,120.46,9.0,2866.0,100.0,1.0,0.0,5.0,6.0,4.0,67.0,26.5,1544212532.0,19:55:32,2018-12-07T19:55:32Z,0.35.2,3
808,74DA38AF4802,AirBox,2018-12-07,74DA38AF4802,1,2.0,1.0,24.988,121.168,9.0,3.0,100.0,1.0,0.0,16.0,18.0,14.0,77.0,24.12,1544211548.0,19:39:08,2018-12-07T19:39:08Z,0.35.2,3
809,新竹縣縣立博愛國中,AirBox,2018-12-07,74DA38F2102C,1,2.0,1.0,24.83,121.006,9.0,56.0,100.0,1.0,0.0,1.0,2.0,0.0,73.0,22.12,1544212226.0,19:50:26,2018-12-07T19:50:26Z,1.0.7,3
810,74DA38AF4808,AirBox,2018-12-07,74DA38AF4808,1,2.0,1.0,24.141,120.639,9.0,1634.0,100.0,1.0,0.0,1.0,2.0,1.0,100.0,22.87,1544212234.0,19:50:34,2018-12-07T19:50:34Z,0.35.2,3
811,taichung12,AirBox,2018-12-07,74DA3895C3AE,1,2.0,1.0,24.175,120.617,9.0,1521.0,100.0,1.0,0.0,2.0,3.0,2.0,76.0,26.75,1544212168.0,19:49:28,2018-12-07T19:49:28Z,0.35.0,3
812,74DA38E2B502,AirBox,2018-12-07,74DA38E2B502,1,2.0,1.0,24.808,120.979,9.0,4972.0,100.0,1.0,0.0,3.0,3.0,2.0,59.0,26.5,1544210464.0,19:21:04,2018-12-07T19:21:04Z,0.35.2,3
813,屏東縣縣立牡丹國小,AirBox,2018-12-07,74DA38F20A94,1,2.0,1.0,22.176,120.837,9.0,387.0,100.0,1.0,0.0,0.0,1.0,0.0,68.0,25.75,1544211390.0,19:36:30,2018-12-07T19:36:30Z,1.0.7,3
814,屏東縣縣立潮昇國小,AirBox,2018-12-07,74DA38F20A92,1,2.0,1.0,22.557,120.547,9.0,642.0,100.0,1.0,0.0,32.0,38.0,21.0,92.0,26.37,1544209833.0,19:10:33,2018-12-07T19:10:33Z,1.0.7,3
815,屏東縣縣立高士國小-牡林分校,AirBox,2018-12-07,74DA38F20A90,1,2.0,1.0,22.073,120.814,9.0,186.0,100.0,1.0,0.0,0.0,1.0,0.0,78.0,24.25,1544211433.0,19:37:13,2018-12-07T19:37:13Z,1.0.7,3
816,74DA38E2B508,AirBox,2018-12-07,74DA38E2B508,1,2.0,1.0,24.114,120.589,9.0,1526.0,100.0,1.0,0.0,4.0,5.0,4.0,96.0,26.87,1544212714.0,19:58:34,2018-12-07T19:58:34Z,0.35.2,3
